product_id,product_name_du,brand,unit_du,unit_qty,unit_type_en,regular_price,current_price,valid_from,valid_to,product_name_en,url
21204,Fresh & Easy Zoete aardappelfriet,Fresh & Easy,400 g,0.4,kg,1.99,0.0,2025-06-30T00:00:00.000+02:00,2049-12-31T23:59:59.000+01:00,Fresh & Easy Sweet Potato Fries,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/fresh-easy-zoete-aardappelfriet/21204
34317,Poldergoud Geschilde aardappeltjes kruimig ongekookt,Poldergoud,1 kg,1.0,kg,1.29,0.89,2025-11-26T00:00:00.000+01:00,2025-12-02T23:59:00.000+01:00,"Poldergoud Peeled potatoes, floury, uncooked",https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/poldergoud-geschilde-aardappeltjes-kruimig-ongekookt/34317
68878,1 de Beste Krieltjes met schil gekruid,1 de Beste,450 g,0.45,kg,1.99,0.0,2025-11-19T00:00:00.000+01:00,2049-12-31T23:59:59.000+01:00,1 the Best Seasoned Potatoes with skin,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-krieltjes-met-schil-gekruid/68878
69583,1 de Beste Minikrieltjes kleinverpakking,1 de Beste,200 g,0.2,kg,0.79,0.0,2025-10-13T00:00:00.000+02:00,2049-12-31T23:59:59.000+01:00,1st Best Mini Potatoes in small packaging,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-minikrieltjes-kleinverpakking/69583
69590,1 de Beste Aardappelgratin met kaas,1 de Beste,500 g,0.5,kg,2.39,0.0,2025-05-26T00:00:00.000+02:00,2049-12-31T23:59:59.000+01:00,1st Best Potato Gratin with Cheese,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-aardappelgratin-met-kaas/69590
69591,1 de Beste Aardappelpuree,1 de Beste,500 g,0.5,kg,1.69,0.0,2025-06-23T00:00:00.000+02:00,2049-12-31T23:59:59.000+01:00,1st Best Mashed Potatoes,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-aardappelpuree/69591
71151,1 de Beste Aardappel wedges gekruid,1 de Beste,450 g,0.45,kg,1.69,0.0,2025-11-19T00:00:00.000+01:00,2049-12-31T23:59:59.000+01:00,1 the Best Potato wedges seasoned,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-aardappel-wedges-gekruid/71151
73565,1 de Beste Stamppot aardappelen,1 de Beste,1 kg,1.0,kg,1.49,0.0,2025-03-24T00:00:00.000+01:00,2049-12-31T23:59:59.000+01:00,1st Best Potato Potatoes,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-stamppot-aardappelen/73565
100968,1 de Beste Verse frites,1 de Beste,1 kg,1.0,kg,2.39,0.0,2025-10-15T00:00:00.000+02:00,2049-12-31T23:59:59.000+01:00,1st Best Fresh Fries,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-verse-frites/100968
113455,1 de Beste Pofaardappel met knoflooksaus,1 de Beste,500 g,0.5,kg,2.25,0.0,2025-07-14T00:00:00.000+02:00,2049-12-31T23:59:59.000+01:00,1st Best Jacket Potato with Garlic Sauce,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-pofaardappel-met-knoflooksaus/113455
113451,1 de Beste Gekookte aardappelen kruimig,1 de Beste,500 g,0.5,kg,0.89,0.0,2024-11-28T04:57:00.000+01:00,2049-12-31T23:59:59.000+01:00,1st Best Boiled Potatoes Floury,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-gekookte-aardappelen-kruimig/113451
113452,1 de Beste Minkrieltjes,1 de Beste,700 g,0.7,kg,1.29,0.0,2025-11-10T04:52:00.000+01:00,2049-12-31T23:59:59.000+01:00,1st Best Mini Bantams,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-minkrieltjes/113452
113445,1 de Beste Aardappelschijfjes,1 de Beste,500 g,0.5,kg,0.99,0.0,2024-11-28T04:57:00.000+01:00,2049-12-31T23:59:59.000+01:00,1st Best Potato Slices,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-aardappelschijfjes/113445
113445,1 de Beste Aardappelschijfjes,1 de Beste,500 g,0.5,kg,0.99,0.0,2024-11-28T04:57:00.000+01:00,2049-12-31T23:59:59.000+01:00,1st Best Potato Slices,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-aardappelschijfjes/113445
113447,1 de Beste Krieltjes,1 de Beste,500 g,0.5,kg,0.99,0.0,2024-11-28T04:57:00.000+01:00,2049-12-31T23:59:59.000+01:00,1st Best Baby Potatoes,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-krieltjes/113447
113454,1 de Beste Aardappelpartjes gekruid,1 de Beste,500 g,0.5,kg,0.99,0.0,2024-11-28T04:57:00.000+01:00,2049-12-31T23:59:59.000+01:00,1st Best Seasoned Potato Wedges,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/1-de-beste-aardappelpartjes-gekruid/113454
25560,Zoete aardappelen,,1 kg,1.0,kg,2.6,0.0,2025-11-19T00:00:00.000+01:00,2025-12-02T23:59:59.000+01:00,Sweet potatoes,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/zoete-aardappelen/25560
25561,Aardappelen kruimig los,,1 kg,1.0,kg,1.98,0.0,2025-04-02T00:00:00.000+02:00,2049-12-31T23:59:59.000+01:00,Potatoes loose and loose,https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/aardappelen-kruimig-los/25561
49869,Vers Voordeel Aardappelen kruimig,Vers Voordeel,4 kg,4.0,kg,1.25,0.0,2025-11-26T00:00:00.000+01:00,2049-12-31T23:59:59.000+01:00,"Fresh Advantage Potatoes, floury",https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/vers-voordeel-aardappelen-kruimig/49869
52224,Bio+ Biologische aardappelen vastkokend,Bio+,1 kg,1.0,kg,1.99,0.0,2025-11-26T00:00:00.000+01:00,2049-12-31T23:59:59.000+01:00,"Bio+ Organic potatoes, waxy",https://www.dirk.nl/boodschappen/aardappelen-groente-fruit/aardappelen/bio-biologische-aardappelen-vastkokend/52224
